Protein,Label
http://purl.uniprot.org/uniprot/A0A023HJ61,HRES-1/RAB4 variant
http://purl.uniprot.org/uniprot/A0A023HN28,SRSF3/USP6 fusion protein (Fragment)
http://purl.uniprot.org/uniprot/A0A023I7F4,Cytochrome b
http://purl.uniprot.org/uniprot/A0A023I7H2,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I7H5,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I7J4,NADH-ubiquinone oxidoreductase chain 2
http://purl.uniprot.org/uniprot/A0A023I7L8,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I7N5,NADH-ubiquinone oxidoreductase chain 1
http://purl.uniprot.org/uniprot/A0A023I7N7,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I7N8,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I7R1,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I7R3,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I7V4,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I7W4,NADH-ubiquinone oxidoreductase chain 6
http://purl.uniprot.org/uniprot/A0A023I7Z4,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I807,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I825,Cytochrome b
http://purl.uniprot.org/uniprot/A0A023I845,NADH-ubiquinone oxidoreductase chain 2
http://purl.uniprot.org/uniprot/A0A023I852,NADH-ubiquinone oxidoreductase chain 6
http://purl.uniprot.org/uniprot/A0A023I885,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I889,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I890,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I8C1,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I8C2,Cytochrome c oxidase subunit 1
http://purl.uniprot.org/uniprot/A0A023I8E0,Cytochrome c oxidase subunit 1
http://purl.uniprot.org/uniprot/A0A023I8F1,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I8F6,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I8I7,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I8J4,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I8L7,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I8M0,Cytochrome b
http://purl.uniprot.org/uniprot/A0A023I8N0,NADH-ubiquinone oxidoreductase chain 6
http://purl.uniprot.org/uniprot/A0A023I8N5,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I8P3,NADH-ubiquinone oxidoreductase chain 6
http://purl.uniprot.org/uniprot/A0A023I8R5,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I8U4,NADH-ubiquinone oxidoreductase chain 4L
http://purl.uniprot.org/uniprot/A0A023I8X8,Cytochrome c oxidase subunit 1
http://purl.uniprot.org/uniprot/A0A023I8Y9,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I900,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I903,Cytochrome b
http://purl.uniprot.org/uniprot/A0A023I905,NADH-ubiquinone oxidoreductase chain 4
http://purl.uniprot.org/uniprot/A0A023I918,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I930,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I954,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I985,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I989,ATP synthase subunit a
http://purl.uniprot.org/uniprot/A0A023I993,Cytochrome b
http://purl.uniprot.org/uniprot/A0A023I9A1,Cytochrome c oxidase subunit 1
http://purl.uniprot.org/uniprot/A0A023I9A5,NADH-ubiquinone oxidoreductase chain 5
http://purl.uniprot.org/uniprot/A0A023I9B6,NADH-ubiquinone oxidoreductase chain 2
